"fmcg_category","platform_name","product_name","date_miladi","date","cheapest_price"
"breakfast","Digikala","عسل گیاهی وحشی ارگانیک اورازان - 1 کیلوگرم","2025-09-09","1404/06/18",1950000
"breakfast","Digikala","عسل گیاهی وحشی ارگانیک اورازان - 1 کیلوگرم","2025-09-11","1404/06/20",1950000
"breakfast","Digikala","عسل گیاهی وحشی ارگانیک اورازان - 1 کیلوگرم","2025-09-13","1404/06/22",1950000
"breakfast","Digikala","عسل گیاهی وحشی ارگانیک اورازان - 1 کیلوگرم","2025-09-14","1404/06/23",1950000
"breakfast","Digikala","عسل گیاهی وحشی ارگانیک اورازان - 1 کیلوگرم","2025-09-15","1404/06/24",1950000
"breakfast","Digikala","عسل گیاهی وحشی ارگانیک اورازان - 1 کیلوگرم","2025-09-16","1404/06/25",1950000
"breakfast","Digikala","عسل گیاهی وحشی ارگانیک اورازان - 1 کیلوگرم","2025-09-17","1404/06/26",1950000
"breakfast","Digikala","عسل گیاهی وحشی ارگانیک اورازان - 1 کیلوگرم","2025-09-18","1404/06/27",1950000
"breakfast","Digikala","عسل گیاهی وحشی ارگانیک اورازان - 1 کیلوگرم","2025-09-20","1404/06/29",1950000
"breakfast","Digikala","عسل گیاهی وحشی ارگانیک اورازان - 1 کیلوگرم","2025-09-21","1404/06/30",1950000
"breakfast","Digikala","عسل گیاهی وحشی ارگانیک اورازان - 1 کیلوگرم","2025-09-22","1404/06/31",1950000
"canned-food","Digikala","کنسرو ماهی تون در روغن طبیعت - طرح پرسپولیس وزن 180 گرم بسته 6 عددی","2025-08-13","1404/05/22",593400
"canned-food","Digikala","کنسرو ماهی تون در روغن طبیعت - طرح پرسپولیس وزن 180 گرم بسته 6 عددی","2025-08-16","1404/05/25",593400
"canned-food","Digikala","خوراک کباب کوبیده کباب لقمه زعفرانی دو نفره هانی - 360 گرم","2025-08-17","1404/05/26",424000
"canned-food","Digikala","خوراک کباب کوبیده کباب لقمه زعفرانی دو نفره هانی - 360 گرم","2025-08-18","1404/05/27",424000
"canned-food","Digikala","کنسرو ماهی تون در روغن گیاهی طبیعت - 180 گرم بسته 4 عددی","2025-08-19","1404/05/28",439600
"canned-food","Digikala","خورشت جوجه غوره بادمجان هانی - 460 گرم","2025-08-20","1404/05/29",193000
"canned-food","Digikala","خورشت جوجه غوره بادمجان هانی - 460 گرم","2025-08-21","1404/05/30",193000
"canned-food","Digikala","کنسرو ماهی تون در روغن طبیعت - طرح پرسپولیس وزن 180 گرم بسته 6 عددی","2025-08-25","1404/06/03",659400
"canned-food","Digikala","خورشت قیمه بادمجان با گوشت هانی - 285 گرم","2025-08-26","1404/06/04",188000
"canned-food","Digikala","کنسرو ماهی تون در روغن طبیعت - طرح پرسپولیس وزن 180 گرم بسته 6 عددی","2025-08-27","1404/06/05",659400
"canned-food","Digikala","کنسرو ماهی تون در روغن طبیعت - طرح پرسپولیس وزن 180 گرم بسته 6 عددی","2025-08-28","1404/06/06",659400
"canned-food","Digikala","کنسرو ماهی تون در روغن طبیعت - طرح پرسپولیس وزن 180 گرم بسته 6 عددی","2025-08-30","1404/06/08",659400
"canned-food","Digikala","کنسرو ماهی تون در روغن طبیعت - طرح پرسپولیس وزن 180 گرم بسته 6 عددی","2025-08-31","1404/06/09",659400
"canned-food","Digikala","کنسرو ماهی تون در روغن طبیعت - طرح پرسپولیس وزن 180 گرم بسته 6 عددی","2025-09-02","1404/06/11",659400
"canned-food","Digikala","کنسرو ماهی تون در روغن طبیعت - طرح پرسپولیس وزن 180 گرم بسته 6 عددی","2025-09-03","1404/06/12",659400
"canned-food","Digikala","کنسرو ماهی تون در روغن طبیعت - طرح پرسپولیس وزن 180 گرم بسته 6 عددی","2025-09-04","1404/06/13",659400
"canned-food","Digikala","زعفران درجه یک مصطفوی - 0.5 گرم","2025-09-05","1404/06/14",98000
"canned-food","Digikala","خوراک کباب کوبیده کباب لقمه زعفرانی دو نفره هانی - 360 گرم","2025-09-08","1404/06/17",386000
"canned-food","Digikala","خورشت قیمه سیب زمینی با گوشت هانی - 285 گرم","2025-09-09","1404/06/18",143200
"canned-food","Digikala","خورشت قیمه سیب زمینی با گوشت هانی - 285 گرم","2025-09-11","1404/06/20",143200
"canned-food","Digikala","خورشت قیمه سیب زمینی با گوشت هانی - 285 گرم","2025-09-13","1404/06/22",161100
"canned-food","Digikala","خورشت قیمه سیب زمینی با گوشت هانی - 285 گرم","2025-09-14","1404/06/23",161100
"canned-food","Digikala","خورشت قیمه سیب زمینی با گوشت هانی - 285 گرم","2025-09-15","1404/06/24",143200
"canned-food","Digikala","خورشت قیمه سیب زمینی با گوشت هانی - 285 گرم","2025-09-16","1404/06/25",143200
"canned-food","Digikala","خورشت قیمه سیب زمینی با گوشت هانی - 285 گرم","2025-09-17","1404/06/26",143200
"canned-food","Digikala","خورشت قیمه سیب زمینی با گوشت هانی - 285 گرم","2025-09-18","1404/06/27",143200
"canned-food","Digikala","خورشت قیمه سیب زمینی با گوشت هانی - 285 گرم","2025-09-20","1404/06/29",179000
"canned-food","Digikala","خورشت قیمه سیب زمینی با گوشت هانی - 285 گرم","2025-09-21","1404/06/30",179000
"canned-food","Digikala","خورشت قیمه سیب زمینی با گوشت هانی - 285 گرم","2025-09-22","1404/06/31",179000
"condiment","Digikala","زعفران درجه یک مصطفوی مقدار 1 گرم","2025-08-13","1404/05/22",287900
"condiment","Digikala","زعفران درجه یک تلقی مصطفوی مقدار 4.608 گرم","2025-08-16","1404/05/25",1197300
"condiment","Digikala","زعفران سرگل سحرخیز خاتم - 5 گرم","2025-08-17","1404/05/26",1224500
"condiment","Digikala","زعفران سرگل سحرخیز خاتم - 5 گرم","2025-08-19","1404/05/28",1224500
"condiment","Digikala","زعفران گلستان - 4.608 گرم","2025-08-20","1404/05/29",992000
"condiment","Digikala","زعفران گلستان - 4.608 گرم","2025-08-21","1404/05/30",992000
"condiment","Digikala","زعفران سرگل سحرخیز خاتم - 5 گرم","2025-08-25","1404/06/03",1224500
"condiment","Digikala","زعفران گلستان - 4.608 گرم","2025-08-26","1404/06/04",992000
"condiment","Digikala","زعفران سرگل سحرخیز خاتم - 5 گرم","2025-08-27","1404/06/05",1224500
"condiment","Digikala","زعفران سرگل سحرخیز خاتم - 5 گرم","2025-08-28","1404/06/06",1224500
"condiment","Digikala","زعفران سرگل سحرخیز خاتم - 5 گرم","2025-08-30","1404/06/08",1224500
"condiment","Digikala","زعفران سرگل سحرخیز خاتم - 5 گرم","2025-08-31","1404/06/09",1224500
"condiment","Digikala","زعفران سرگل سحرخیز خاتم - 5 گرم","2025-09-02","1404/06/11",1224500
"condiment","Digikala","زعفران سرگل سحرخیز خاتم - 5 گرم","2025-09-03","1404/06/12",1224500
"condiment","Digikala","زعفران سرگل سحرخیز خاتم - 5 گرم","2025-09-04","1404/06/13",1224500
"condiment","Digikala","زعفران درجه یک مصطفوی - 0.5 گرم","2025-09-05","1404/06/14",98000
"condiment","Digikala","زعفران سرگل سحرخیز خاتم - 5 گرم","2025-09-08","1404/06/17",1224500
"condiment","Digikala","زعفران سرگل سحرخیز خاتم - 5 گرم","2025-09-09","1404/06/18",1224500
"condiment","Digikala","زعفران سرگل سحرخیز خاتم - 5 گرم","2025-09-11","1404/06/20",1224500
"condiment","Digikala","زعفران سرگل سحرخیز خاتم - 5 گرم","2025-09-13","1404/06/22",1224500
"condiment","Digikala","زعفران سرگل سحرخیز خاتم - 5 گرم","2025-09-14","1404/06/23",1224500
"condiment","Digikala","زعفران سرگل سحرخیز خاتم - 5 گرم","2025-09-15","1404/06/24",1224500
"condiment","Digikala","زعفران سرگل سحرخیز خاتم - 5 گرم","2025-09-16","1404/06/25",1224500
"condiment","Digikala","زعفران سرگل سحرخیز خاتم - 5 گرم","2025-09-17","1404/06/26",1224500
"condiment","Digikala","زعفران سرگل سحرخیز خاتم - 5 گرم","2025-09-20","1404/06/29",1224500
"condiment","Digikala","زعفران سرگل سحرخیز خاتم - 5 گرم","2025-09-21","1404/06/30",1224500
"condiment","Digikala","زعفران سرگل سحرخیز خاتم - 5 گرم","2025-09-22","1404/06/31",1224500
"cosmetics-hygiene","Digikala","دستمال کاغذی 250 برگ کیولین مدل اقتصادی بسته 8 عددی","2025-08-13","1404/05/22",676900
"cosmetics-hygiene","Digikala","دستمال کاغذی 250 برگ بی تا مدل Unique بسته 8 عددی","2025-08-16","1404/05/25",660480
"cosmetics-hygiene","Digikala","دستمال کاغذی 250 برگ کیولین مدل اقتصادی بسته 8 عددی","2025-08-17","1404/05/26",676900
"cosmetics-hygiene","Digikala","دستمال کاغذی 250 برگ کیولین مدل اقتصادی بسته 8 عددی","2025-08-18","1404/05/27",676900
"cosmetics-hygiene","Digikala","دستمال کاغذی 250 برگ کیولین مدل اقتصادی بسته 8 عددی","2025-08-19","1404/05/28",676900
"cosmetics-hygiene","Digikala","پوشینه بزرگسال هانی لایف مدل 002 سایز بزرگ بسته 14 عددی","2025-08-20","1404/05/29",470200
