"fmcg_category","platform_name","date_miladi","date","avg_price"
"dairy","Digikala","2025-09-05","1404/06/14","98000.000000000000"
"dairy","Digikala","2025-09-08","1404/06/17","96900.000000000000"
"dairy","Digikala","2025-09-09","1404/06/18","96900.000000000000"
"dairy","Digikala","2025-09-11","1404/06/20","53290.000000000000"
"dairy","Digikala","2025-09-13","1404/06/22","34900.000000000000"
"dairy","Digikala","2025-09-14","1404/06/23","96900.000000000000"
"dairy","Digikala","2025-09-15","1404/06/24","96900.000000000000"
"dairy","Digikala","2025-09-16","1404/06/25","96900.000000000000"
"dairy","Digikala","2025-09-17","1404/06/26","96900.000000000000"
"dairy","Digikala","2025-09-18","1404/06/27","32000.000000000000"
"dairy","Digikala","2025-09-20","1404/06/29","96900.000000000000"
"dairy","Digikala","2025-09-21","1404/06/30","26610.000000000000"
"dairy","Digikala","2025-09-22","1404/06/31","96900.000000000000"
"frozen-food","Digikala","2025-08-13","1404/05/22","215000.000000000000"
"frozen-food","Digikala","2025-08-16","1404/05/25","139900.000000000000"
"frozen-food","Digikala","2025-08-17","1404/05/26","139900.000000000000"
"frozen-food","Digikala","2025-08-18","1404/05/27","215000.000000000000"
"frozen-food","Digikala","2025-08-19","1404/05/28","215000.000000000000"
"frozen-food","Digikala","2025-08-20","1404/05/29","95000.000000000000"
"frozen-food","Digikala","2025-08-21","1404/05/30","165000.000000000000"
"frozen-food","Digikala","2025-08-25","1404/06/03","139900.000000000000"
"frozen-food","Digikala","2025-08-26","1404/06/04","195000.000000000000"
"frozen-food","Digikala","2025-08-27","1404/06/05","215000.000000000000"
"frozen-food","Digikala","2025-08-28","1404/06/06","235000.000000000000"
"frozen-food","Digikala","2025-08-30","1404/06/08","139900.000000000000"
"frozen-food","Digikala","2025-08-31","1404/06/09","139900.000000000000"
"frozen-food","Digikala","2025-09-02","1404/06/11","235000.000000000000"
"frozen-food","Digikala","2025-09-03","1404/06/12","235000.000000000000"
"frozen-food","Digikala","2025-09-04","1404/06/13","235000.000000000000"
"frozen-food","Digikala","2025-09-05","1404/06/14","98000.000000000000"
"frozen-food","Digikala","2025-09-08","1404/06/17","235000.000000000000"
"frozen-food","Digikala","2025-09-09","1404/06/18","235000.000000000000"
"frozen-food","Digikala","2025-09-11","1404/06/20","235000.000000000000"
"frozen-food","Digikala","2025-09-13","1404/06/22","139900.000000000000"
"frozen-food","Digikala","2025-09-14","1404/06/23","139900.000000000000"
"frozen-food","Digikala","2025-09-15","1404/06/24","139900.000000000000"
"frozen-food","Digikala","2025-09-16","1404/06/25","235000.000000000000"
"frozen-food","Digikala","2025-09-17","1404/06/26","235000.000000000000"
"frozen-food","Digikala","2025-09-18","1404/06/27","235000.000000000000"
"frozen-food","Digikala","2025-09-20","1404/06/29","149900.000000000000"
"frozen-food","Digikala","2025-09-21","1404/06/30","149900.000000000000"
"frozen-food","Digikala","2025-09-22","1404/06/31","149900.000000000000"
"fruits-and-vegetables","Digikala","2025-08-13","1404/05/22","37400.000000000000"
"fruits-and-vegetables","Digikala","2025-08-16","1404/05/25","33660.000000000000"
"fruits-and-vegetables","Digikala","2025-08-17","1404/05/26","37400.000000000000"
"fruits-and-vegetables","Digikala","2025-08-18","1404/05/27","18700.0000000000000000"
"fruits-and-vegetables","Digikala","2025-08-19","1404/05/28","37400.000000000000"
"fruits-and-vegetables","Digikala","2025-08-20","1404/05/29","195000.000000000000"
"fruits-and-vegetables","Digikala","2025-08-21","1404/05/30","55100.000000000000"
"fruits-and-vegetables","Digikala","2025-08-25","1404/06/03","34200.000000000000"
"fruits-and-vegetables","Digikala","2025-08-26","1404/06/04","195000.000000000000"
"fruits-and-vegetables","Digikala","2025-08-27","1404/06/05","44000.000000000000"
"fruits-and-vegetables","Digikala","2025-08-28","1404/06/06","38900.000000000000"
"fruits-and-vegetables","Digikala","2025-08-30","1404/06/08","44000.000000000000"
"fruits-and-vegetables","Digikala","2025-08-31","1404/06/09","34200.000000000000"
"fruits-and-vegetables","Digikala","2025-09-02","1404/06/11","34200.000000000000"
"fruits-and-vegetables","Digikala","2025-09-03","1404/06/12","30800.000000000000"
"fruits-and-vegetables","Digikala","2025-09-04","1404/06/13","36000.000000000000"
"fruits-and-vegetables","Digikala","2025-09-05","1404/06/14","98000.000000000000"
"fruits-and-vegetables","Digikala","2025-09-08","1404/06/17","44000.000000000000"
"fruits-and-vegetables","Digikala","2025-09-09","1404/06/18","44000.000000000000"
"fruits-and-vegetables","Digikala","2025-09-11","1404/06/20","44000.000000000000"
"fruits-and-vegetables","Digikala","2025-09-13","1404/06/22","34320.000000000000"
"fruits-and-vegetables","Digikala","2025-09-14","1404/06/23","44000.000000000000"
"fruits-and-vegetables","Digikala","2025-09-15","1404/06/24","44000.000000000000"
"fruits-and-vegetables","Digikala","2025-09-16","1404/06/25","44000.000000000000"
"fruits-and-vegetables","Digikala","2025-09-17","1404/06/26","34320.000000000000"
"fruits-and-vegetables","Digikala","2025-09-18","1404/06/27","44000.000000000000"
"fruits-and-vegetables","Digikala","2025-09-20","1404/06/29","44000.000000000000"
"fruits-and-vegetables","Digikala","2025-09-21","1404/06/30","36000.000000000000"
"fruits-and-vegetables","Digikala","2025-09-22","1404/06/31","36000.000000000000"
"junk-food","Digikala","2025-08-13","1404/05/22","60000.000000000000"
"junk-food","Digikala","2025-08-16","1404/05/25","60000.000000000000"
"junk-food","Digikala","2025-08-17","1404/05/26","60000.000000000000"
"junk-food","Digikala","2025-08-18","1404/05/27","60000.000000000000"
"junk-food","Digikala","2025-08-19","1404/05/28","60000.000000000000"
"junk-food","Digikala","2025-08-20","1404/05/29","210000.000000000000"
"junk-food","Digikala","2025-08-21","1404/05/30","144000.000000000000"
"junk-food","Digikala","2025-08-25","1404/06/03","60000.000000000000"
"junk-food","Digikala","2025-08-26","1404/06/04","210000.000000000000"
"junk-food","Digikala","2025-08-27","1404/06/05","60000.000000000000"
"junk-food","Digikala","2025-08-28","1404/06/06","35000.000000000000"
"junk-food","Digikala","2025-08-30","1404/06/08","60000.000000000000"
"junk-food","Digikala","2025-08-31","1404/06/09","60000.000000000000"
"junk-food","Digikala","2025-09-02","1404/06/11","60000.000000000000"
"junk-food","Digikala","2025-09-03","1404/06/12","60000.000000000000"
"junk-food","Digikala","2025-09-04","1404/06/13","60000.000000000000"
